0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,270,157,86,67,297,39,76,201,2,35,94,35,140,17,107,55,77,168,21,25,108
2,104,53,34,21,103,15,28,69,3,8,31,11,35,2,30,19,29,54,14,10,28
3,67,37,18,22,66,8,21,44,1,8,15,11,25,11,24,9,24,35,7,6,19
4,28,21,6,6,28,5,8,18,0,0,2,0,9,2,6,2,7,10,1,2,9
5,37,26,9,14,43,9,12,35,1,7,13,5,16,0,20,2,13,11,3,5,15
6,122,57,41,24,143,22,29,105,4,4,16,21,54,9,62,21,41,79,10,19,57
7,60,38,24,20,56,7,14,49,1,20,12,8,26,9,33,7,19,21,4,8,22
8,12,4,1,1,16,0,1,2,0,3,11,2,1,1,1,0,3,4,0,0,5
9,23,6,1,1,20,3,5,9,1,0,5,1,5,1,4,2,5,7,0,2,1
10,109,60,36,23,150,20,25,97,4,10,37,9,51,7,52,21,41,82,9,9,36
11,132,103,47,42,127,16,53,125,3,21,17,20,54,17,59,20,50,59,10,11,47
12,25,10,7,3,28,6,4,10,0,2,11,4,5,3,8,0,10,8,3,5,8
13,20,3,4,1,16,3,3,8,0,1,9,4,5,0,2,1,4,10,0,1,4
14,17,21,10,3,18,4,6,14,0,1,3,5,9,1,7,2,10,7,4,1,10
15,28,9,6,6,22,2,6,14,0,2,6,1,8,1,1,3,3,15,3,1,9
16,90,53,28,24,100,15,25,77,2,3,9,13,34,3,46,22,38,44,11,11,34
17,95,111,57,26,97,7,39,88,2,29,14,18,35,19,36,13,41,37,1,10,60
18,19,7,11,7,31,5,4,15,0,0,3,3,8,1,9,3,5,6,4,3,13
19,55,25,14,9,80,13,16,32,2,3,20,8,17,5,18,2,18,21,9,7,15
20,34,7,5,4,29,8,3,13,0,1,2,1,8,0,10,1,9,14,2,3,6
21,173,103,72,40,161,30,46,165,2,17,20,32,71,17,77,37,60,118,13,21,81
22,58,32,18,13,52,8,15,42,1,5,4,5,10,1,25,6,22,28,6,6,21
23,27,5,5,5,25,3,2,13,0,1,3,1,7,0,3,1,5,11,3,1,5
24,81,39,28,17,111,21,25,53,3,7,20,3,41,3,35,8,30,51,11,11,26
25,118,98,62,32,132,17,53,105,2,10,7,22,45,13,56,23,47,60,7,15,56
26,11,13,8,3,26,0,3,6,0,0,4,1,1,1,2,6,1,3,0,0,11
27,10,4,2,2,14,1,3,4,0,0,5,1,1,1,4,0,2,2,1,0,4
28,25,28,8,7,12,0,8,17,0,4,1,8,7,4,7,5,11,4,0,1,22
29,56,26,33,12,74,8,8,19,1,1,5,5,42,0,13,10,12,27,3,7,41
30,10,7,8,1,12,3,1,4,0,0,0,2,5,2,2,4,3,0,1,2,7
31,20,14,6,4,32,3,5,10,0,2,3,1,9,1,6,1,5,9,1,2,7
32,196,110,85,37,218,22,47,141,2,9,34,25,113,14,68,49,55,154,19,29,84
33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
34,213,167,83,60,224,27,66,165,4,33,72,43,98,25,73,48,74,132,18,24,102
35,15,12,5,2,7,0,3,7,0,2,0,0,2,1,1,1,3,1,0,2,6
36,117,108,57,26,133,16,41,92,2,11,5,26,37,16,43,24,37,52,8,12,65
37,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,2,0,1,9,1,0,1,0,1,5,0,1,0,1,0,1,1,1,0,1
39,172,113,65,43,235,24,55,122,2,23,55,24,77,10,75,26,55,82,8,21,75
40,5,7,1,0,5,0,1,3,1,0,0,0,0,1,0,0,3,1,1,0,1
41,19,38,17,8,32,2,11,18,1,1,3,2,11,8,8,7,9,15,3,4,25
42,43,14,14,6,30,5,8,32,0,0,1,4,10,1,13,2,9,12,5,3,9
43,23,20,11,7,14,2,13,10,0,2,2,2,8,4,6,5,3,11,3,4,16
44,45,19,13,10,57,10,7,32,2,1,14,5,20,0,13,7,7,26,6,8,9
45,85,44,36,18,68,7,22,50,1,8,6,13,34,5,27,12,27,32,4,10,35
46,21,27,10,9,21,3,10,15,0,4,3,0,8,2,7,1,9,3,0,1,12
47,147,78,51,42,201,26,38,115,2,11,22,25,67,3,61,30,39,84,15,19,61
48,59,33,18,11,69,7,18,18,2,11,25,6,20,2,17,4,10,21,2,3,26
49,0,5,3,1,3,0,1,2,0,0,1,0,0,0,1,0,2,2,0,1,5
50,218,146,75,52,285,38,62,191,5,15,22,44,122,18,103,49,75,119,21,26,97
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,57,49,40,11,53,5,13,37,1,6,5,12,14,5,22,13,24,18,2,8,36
53,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
54,4,1,0,0,9,0,0,2,0,1,15,1,1,0,1,0,1,2,0,0,3
55,8,8,4,5,4,0,1,1,0,0,0,0,0,1,2,0,2,1,0,1,7
56,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,1
57,18,14,6,3,12,2,5,7,0,1,1,0,4,2,3,0,5,6,1,2,7
58,67,81,32,11,49,3,23,50,0,6,2,9,27,12,25,16,20,21,1,5,41
59,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
60,56,24,21,9,40,9,15,38,2,8,26,5,15,4,11,8,13,24,7,3,19
61,16,3,1,2,9,2,2,7,0,1,1,1,2,1,6,0,3,4,1,0,5
62,65,58,20,19,81,13,29,56,1,9,12,9,32,10,30,9,22,35,1,5,25
63,21,2,3,6,31,6,4,3,0,1,5,0,4,1,6,0,2,6,3,1,6
64,13,8,4,3,12,2,3,8,0,1,1,3,0,0,5,0,4,3,1,3,5
65,24,7,3,6,35,6,5,9,0,1,7,2,3,0,7,1,6,7,1,5,8
66,15,2,4,2,23,2,3,8,2,0,2,1,5,0,4,1,6,12,2,0,3
67,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
68,1,4,4,2,3,1,2,10,1,2,2,2,4,0,5,5,1,2,0,2,7
69,52,11,14,9,77,15,8,18,1,1,14,2,23,0,17,6,10,20,4,3,14
70,142,44,42,25,152,26,25,95,2,4,17,13,57,3,46,18,34,77,19,22,51
71,15,9,1,2,19,8,0,10,0,2,4,0,4,0,6,2,4,5,0,2,3
72,13,13,6,4,18,3,2,5,1,0,1,0,5,0,2,1,2,3,0,5,9
73,28,21,14,6,30,2,8,22,0,3,10,5,10,12,11,1,9,17,1,2,12
74,12,11,6,5,26,4,3,15,0,2,1,2,5,1,6,0,8,4,0,1,8
75,5,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
76,26,6,6,3,28,4,6,20,1,0,6,2,14,2,13,2,11,15,2,1,10
77,7,2,2,1,4,1,1,1,0,0,0,0,2,0,2,1,5,0,1,1,3
78,14,3,1,3,5,1,1,5,0,1,0,1,0,0,2,1,6,1,0,1,4
79,16,13,2,6,15,3,4,10,0,2,1,1,5,2,7,2,11,5,1,2,6
80,9,8,3,1,5,0,2,7,0,0,0,1,3,1,1,2,2,2,0,0,5
81,30,13,4,4,25,2,6,16,0,3,1,6,4,1,8,5,6,8,2,3,19
82,11,18,10,3,4,0,4,6,0,0,0,2,2,3,5,3,3,3,0,1,11
83,4,5,2,2,5,0,0,6,0,0,0,0,2,1,0,0,3,1,1,0,1
84,2,8,2,0,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,2
85,23,31,22,6,14,1,7,19,0,3,2,3,14,4,8,6,4,5,3,4,15
86,28,17,7,5,37,3,13,33,3,3,5,5,9,4,12,7,12,17,2,3,11
87,16,6,1,0,9,1,4,6,1,4,8,0,0,1,5,0,1,4,1,3,5
88,33,11,13,5,39,4,5,11,0,2,8,4,13,0,13,2,6,6,3,5,9
89,31,9,14,9,39,8,7,21,1,3,5,6,11,1,13,3,9,16,2,5,16
90,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,13,10,6,1,9,1,2,10,0,2,0,2,2,0,6,1,8,4,1,3,7
93,15,4,5,3,16,5,0,4,0,2,0,2,7,0,3,0,6,6,3,2,6
94,22,17,9,8,32,8,10,18,1,1,1,2,5,0,12,2,7,6,1,3,17
95,81,37,26,18,89,16,20,74,1,5,14,13,40,4,40,12,35,69,7,9,28
96,3,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3
97,3,3,3,1,13,1,2,3,0,0,2,1,0,0,1,2,2,3,0,0,4
98,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
99,11,5,2,2,4,0,4,5,0,1,0,0,1,1,2,0,1,3,2,1,5
100,18,12,7,9,13,1,4,17,0,0,0,3,5,1,8,4,9,5,1,1,10
101,45,17,22,7,51,6,4,12,0,1,4,4,13,1,9,7,9,10,1,6,24
102,7,1,3,2,12,2,0,4,0,0,6,1,0,1,4,0,3,4,3,0,7
103,7,2,2,1,4,0,0,4,1,0,0,1,0,1,2,0,3,1,1,1,2
104,77,48,26,20,138,22,30,58,1,9,41,12,36,0,30,9,24,41,12,12,36
105,46,53,21,16,34,6,27,51,1,9,0,5,17,7,27,8,18,17,2,6,16
106,1,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2
107,34,20,19,6,37,7,9,20,2,4,18,2,8,2,9,2,9,19,3,5,21
108,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,271,192,96,64,376,50,97,281,5,20,59,46,170,45,120,61,100,213,31,30,116
111,149,111,75,41,156,23,42,138,1,9,14,30,76,22,65,32,52,79,16,21,88
112,76,39,30,17,110,18,20,42,3,1,14,7,39,3,27,13,19,43,8,13,28
113,8,6,1,2,11,0,3,5,0,0,2,1,1,1,1,0,1,3,1,0,6
114,2,1,1,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,5,8,4,0,4,0,0,2,0,0,0,1,2,2,0,0,3,2,1,1,6
117,11,2,5,3,15,4,0,7,0,0,1,1,4,0,7,2,4,1,1,2,9
118,9,8,1,6,13,2,3,6,1,2,0,0,2,0,3,0,4,2,1,2,3
119,2,0,1,0,3,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0
120,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
